year,month,day,genesis,hyundai,kia,lexus,toyota,bmw,benz,,,,,,
2022,4,25,335.3082233,363.5409633,344.1349942,228.2744822,364.6703868,363.9099314,378.5395041,,,,,,
2022,5,1,336.1241623,367.4972999,346.1812921,231.2512452,366.6892266,366.948192,381.8312638,,,,,,
2022,5,5,337.3058653,368.2418041,347.4248303,228.2744822,367.4924721,367.3505862,382.3909047,,,,,,
2022,5,10,338.4875684,368.9863083,348.6683685,225.2977192,368.2957176,367.7529805,382.9505456,,,,,,
2022,5,15,338.7597987,368.7293561,348.676123,226.2653967,368.6866142,367.4193327,382.9505456,,,,,,
2022,5,20,339.8586121,368.9863083,349.1356428,225.2977192,368.6866142,367.7529805,382.9505456,,,,,,
2022,5,25,340.9574255,369.2432606,349.5951626,224.3300418,368.6866142,368.0866282,382.9505456,,,,,,
2022,6,1,341.9053721,369.3836988,349.5273236,224.2958289,368.6792658,368.5698496,382.9505456,,,,,,
2022,6,5,342.7999324,369.5265655,349.7224293,223.436095,368.466369,369.0188252,382.5188153,,,,,,
2022,6,10,343.6944927,369.6694323,349.9175351,222.5763611,368.2534722,369.4678008,382.087085,,,,,,
2022,6,15,343.4682391,369.5265655,349.9070972,221.7979432,367.6221301,369.5153698,380.7109512,,,,,,
2022,6,20,344.3314136,369.7006419,350.1111714,220.9990497,367.6221301,369.9978583,379.7621826,,,,,,
2022,6,25,345.1945882,369.8747183,350.3152456,220.2001562,367.6221301,370.4803469,378.813414,,,,,,
2022,7,1,346.1384038,370.2695786,350.4002568,219.4416274,367.6221301,371.431268,378.2495203,,,,,,
2022,7,5,347.1158051,370.767041,350.7428003,219.4416274,367.8738617,371.431268,377.7749722,,,,,,
